合约代码,更新时间,最新价,今开盘,最高价,成交量,本次结算价,买价一,买量一,买价2,买量2,卖价一,卖量一,持仓量,换手率
cu1811,09:47:14.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:47:20.500,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53810,1,25270,2.72999e+07
cu1811,09:47:21.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53810,2,25270,2.72999e+07
cu1811,09:47:22.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:47:22.500,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,2,25270,2.72999e+07
cu1811,09:47:29.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:47:32.500,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:48:01.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53810,1,25270,2.72999e+07
cu1811,09:48:01.500,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53810,2,25270,2.72999e+07
cu1811,09:48:13.500,53760,53430,53820,102,1.79769e+308,53770,3,1.79769e+308,0,53810,2,25270,2.72999e+07
cu1811,09:48:31.500,53760,53430,53820,102,1.79769e+308,53770,3,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:48:32.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:48:37.500,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:48:46.0,53760,53430,53820,102,1.79769e+308,53770,2,1.79769e+308,0,53800,1,25270,2.72999e+07
cu1811,09:48:55.500,53760,53430,53820,102,1.79769e+308,53750,1,1.79769e+308,0,53790,2,25270,2.72999e+07
cu1811,09:48:56.0,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53790,2,25270,2.72999e+07
cu1811,09:48:56.500,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53790,2,25270,2.72999e+07
cu1811,09:48:58.500,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53780,1,25270,2.72999e+07
cu1811,09:48:59.0,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53790,1,25270,2.72999e+07
cu1811,09:48:59.500,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53790,2,25270,2.72999e+07
cu1811,09:49:02.0,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53770,1,25270,2.72999e+07
cu1811,09:49:02.500,53760,53430,53820,102,1.79769e+308,53760,2,1.79769e+308,0,53770,1,25270,2.72999e+07
cu1811,09:49:11.0,53760,53430,53820,104,1.79769e+308,53750,1,1.79769e+308,0,53770,1,25270,2.78375e+07
cu1811,09:49:12.0,53760,53430,53820,104,1.79769e+308,53760,1,1.79769e+308,0,53790,1,25270,2.78375e+07
cu1811,09:49:12.500,53760,53430,53820,104,1.79769e+308,53760,1,1.79769e+308,0,53780,1,25270,2.78375e+07
cu1811,09:49:13.0,53760,53430,53820,104,1.79769e+308,53760,1,1.79769e+308,0,53780,1,25270,2.78375e+07
cu1811,09:49:13.500,53760,53430,53820,104,1.79769e+308,53740,1,1.79769e+308,0,53780,1,25270,2.78375e+07
cu1811,09:49:14.0,53760,53430,53820,104,1.79769e+308,53750,1,1.79769e+308,0,53780,1,25270,2.78375e+07
cu1811,09:49:36.500,53760,53430,53820,104,1.79769e+308,53750,1,1.79769e+308,0,53790,2,25270,2.78375e+07
cu1811,09:49:37.0,53760,53430,53820,104,1.79769e+308,53750,1,1.79769e+308,0,53790,5,25270,2.78375e+07
cu1811,09:49:38.0,53760,53430,53820,104,1.79769e+308,53750,1,1.79769e+308,0,53780,1,25270,2.78375e+07
cu1811,09:49:51.0,53760,53430,53820,104,1.79769e+308,53750,1,1.79769e+308,0,53780,1,25270,2.78375e+07
